Date,Account value
5/3/2022,23417.29
5/4/2022,23871.19
5/5/2022,23523.11
5/6/2022,23445.48
5/9/2022,23018.14
5/10/2022,22722.24
5/11/2022,21823.04
5/12/2022,22071.27
5/13/2022,22778.99
5/16/2022,22731.71
5/17/2022,23797.39
5/18/2022,23302.75
5/19/2022,23270.92
5/20/2022,23136.18
5/23/2022,23870.31
5/24/2022,23689.11
,
,
My Account Chart balance information does not include short options value from 1/1/2017-2/23/2018 for legacy ,
Scottrade accounts and may not include price corrections submitted by the exchanges after market close. ,
Please see the Detailed Balances page or your account statements for complete balance information.,
